,legislation_number,url,congress,title,sponsor,date_of_introduction,date_submitted,committees,latest_action,bill_status,party,month,year
330,H.R. 7623,https://www.congress.gov/bill/117th-congress/house-bill/7623,117th Congress (2021-2022),Financial Crimes Enforcement Network Improvements Act,"Rep. Davidson, Warren [R-OH-8]",2022-04-28,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,April,2022
331,H.R. 7616,https://www.congress.gov/bill/117th-congress/house-bill/7616,117th Congress (2021-2022),"To reduce the amount made available to the National Archives and Records Administration unless certain backlogs of the Administration are resolved, and for other purposes.","Rep. Bentz, Cliff [R-OR-2]",2022-04-28,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,April,2022
332,H.R. 7615,https://www.congress.gov/bill/117th-congress/house-bill/7615,117th Congress (2021-2022),LODGE Act,"Rep. Moore, Blake D. [R-UT-1]",2022-04-28,,House - Natural Resources,Subcommittee Hearings Held.,introduced,Reupblican,April,2022
333,H.R. 7614,https://www.congress.gov/bill/117th-congress/house-bill/7614,117th Congress (2021-2022),Digital Commodity Exchange Act of 2022,"Rep. Thompson, Glenn [R-PA-15]",2022-04-28,,House - Agriculture,"Referred to the Subcommittee on Commodity Exchanges, Energy, and Credit.",introduced,Reupblican,April,2022
334,H.R. 7613,https://www.congress.gov/bill/117th-congress/house-bill/7613,117th Congress (2021-2022),21st Century FREE Speech Act,"Rep. Greene, Marjorie Taylor [R-GA-14]",2022-04-28,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,April,2022
335,H.R. 7611,https://www.congress.gov/bill/117th-congress/house-bill/7611,117th Congress (2021-2022),Ukraine Democracy Defense Lend-Lease Act of 2022,"Rep. Wilson, Joe [R-SC-2]",2022-04-27,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,April,2022
336,H.R. 7610,https://www.congress.gov/bill/117th-congress/house-bill/7610,117th Congress (2021-2022),21st Century Dyslexia Act,"Rep. Westerman, Bruce [R-AR-4]",2022-04-27,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
337,H.R. 7609,https://www.congress.gov/bill/117th-congress/house-bill/7609,117th Congress (2021-2022),"To prohibit the appeal of the decision issued by the United States District Court for the Middle District of Florida determining that the mask mandate is unlawful, and for other purposes.","Rep. Tiffany, Thomas P. [R-WI-7]",2022-04-27,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
338,H.R. 7607,https://www.congress.gov/bill/117th-congress/house-bill/7607,117th Congress (2021-2022),HARVARD Act,"Rep. Steel, Michelle [R-CA-48]",2022-04-27,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
339,H.R. 7604,https://www.congress.gov/bill/117th-congress/house-bill/7604,117th Congress (2021-2022),Partial Birth Abortion Is Murder Act,"Rep. Mullin, Markwayne [R-OK-2]",2022-04-27,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
340,H.R. 7600,https://www.congress.gov/bill/117th-congress/house-bill/7600,117th Congress (2021-2022),TSA Act,"Rep. Lesko, Debbie [R-AZ-8]",2022-04-27,,House - Homeland Security,Referred to the Subcommittee on Transportation and Maritime Security.,introduced,Reupblican,April,2022
341,H.R. 7599,https://www.congress.gov/bill/117th-congress/house-bill/7599,117th Congress (2021-2022),TPA Act,"Rep. Lesko, Debbie [R-AZ-8]",2022-04-27,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,April,2022
342,H.R. 7598,https://www.congress.gov/bill/117th-congress/house-bill/7598,117th Congress (2021-2022),Robocall Trace Back Enhancement Act,"Rep. Latta, Robert E. [R-OH-5]",2022-04-27,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,April,2022
343,H.R. 7595,https://www.congress.gov/bill/117th-congress/house-bill/7595,117th Congress (2021-2022),Victims Of Immigration Crime Engagement Restoration Act,"Rep. Bergman, Jack [R-MI-1]",2022-04-27,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
344,H.R. 7588,https://www.congress.gov/bill/117th-congress/house-bill/7588,117th Congress (2021-2022),State-Based Education Loan Awareness Act,"Rep. Sessions, Pete [R-TX-17]",2022-04-26,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
345,H.R. 7586,https://www.congress.gov/bill/117th-congress/house-bill/7586,117th Congress (2021-2022),Securing the Border for Public Health Act of 2022,"Rep. Lesko, Debbie [R-AZ-8]",2022-04-26,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,April,2022
346,H.R. 7584,https://www.congress.gov/bill/117th-congress/house-bill/7584,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to end the investment tax credit for offshore wind facilities in the inland navigable waters of the United States.,"Rep. Jacobs, Chris [R-NY-27]",2022-04-26,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,April,2022
347,H.R. 7582,https://www.congress.gov/bill/117th-congress/house-bill/7582,117th Congress (2021-2022),No Free TRIPS Act,"Rep. Issa, Darrell E. [R-CA-50]",2022-04-26,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,April,2022
348,H.R. 7579,https://www.congress.gov/bill/117th-congress/house-bill/7579,117th Congress (2021-2022),Western Hemisphere Nearshoring Act,"Rep. Green, Mark E. [R-TN-7]",2022-04-26,,"House - Ways and Means, Foreign Affairs","Referred to the Committee on Ways and Means, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
349,H.R. 7578,https://www.congress.gov/bill/117th-congress/house-bill/7578,117th Congress (2021-2022),Countering Limitless Overtaking of User Data Act,"Rep. Gooden, Lance [R-TX-5]",2022-04-26,,"House - Energy and Commerce, Foreign Affairs","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
350,H.R. 7574,https://www.congress.gov/bill/117th-congress/house-bill/7574,117th Congress (2021-2022),Defense Budget Transparency Act of 2022,"Rep. Bacon, Don [R-NE-2]",2022-04-26,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,April,2022
351,H.R. 7571,https://www.congress.gov/bill/117th-congress/house-bill/7571,117th Congress (2021-2022),"To direct the Administer of the Small Business Administration to consider certain applications under certain EIDL COVID-19 relief programs, and for other purposes.","Rep. Smith, Christopher H. [R-NJ-4]",2022-04-25,,House - Small Business,Referred to the House Committee on Small Business.,introduced,Reupblican,April,2022
352,H.R. 7570,https://www.congress.gov/bill/117th-congress/house-bill/7570,117th Congress (2021-2022),To establish certain protections for individuals involuntarily separated from the Armed Forces solely on the basis of refusing to receive vaccinations against COVID-19.,"Rep. Smith, Christopher H. [R-NJ-4]",2022-04-25,,House - Armed Services,Referred to the House Committee on Armed Services.,introduced,Reupblican,April,2022
353,H.R. 7556,https://www.congress.gov/bill/117th-congress/house-bill/7556,117th Congress (2021-2022),Veterans Benefits Improvement Act of 2022,"Rep. McKinley, David B. [R-WV-1]",2022-04-21,,"House - Veterans' Affairs, Ways and Means",Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,introduced,Reupblican,April,2022
354,H.R. 7554,https://www.congress.gov/bill/117th-congress/house-bill/7554,117th Congress (2021-2022),OWNER Act,"Rep. Malliotakis, Nicole [R-NY-11]",2022-04-21,,"House - Natural Resources, Budget","Referred to the Committee on Natural Resources, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
355,H.R. 7552,https://www.congress.gov/bill/117th-congress/house-bill/7552,117th Congress (2021-2022),Golden-preneurship Act,"Rep. Kim, Young [R-CA-39]",2022-04-21,,House - Small Business,Referred to the House Committee on Small Business.,introduced,Reupblican,April,2022
356,H.R. 7548,https://www.congress.gov/bill/117th-congress/house-bill/7548,117th Congress (2021-2022),Securing Americans from Transportation Insanity Act,"Rep. Boebert, Lauren [R-CO-3]",2022-04-21,,House - Homeland Security,"Referred to the Subcommittee on Border Security, Facilitation, and Operations.",introduced,Reupblican,April,2022
357,H.R. 7538,https://www.congress.gov/bill/117th-congress/house-bill/7538,117th Congress (2021-2022),To provide the equivalent of a 6-month Federal income tax holiday for certain individuals.,"Rep. Moore, Barry [R-AL-2]",2022-04-18,,House - Ways and Means,Sponsor introductory remarks on measure. (CR H4519),introduced,Reupblican,April,2022
358,H.R. 7528,https://www.congress.gov/bill/117th-congress/house-bill/7528,117th Congress (2021-2022),No Aid for Abetting Illegal Immigration Act,"Rep. Weber, Randy K., Sr. [R-TX-14]",2022-04-14,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,April,2022
359,H.R. 7527,https://www.congress.gov/bill/117th-congress/house-bill/7527,117th Congress (2021-2022),Recognition of the 1995 Jordan Extradition Treaty with the U.S. Act,"Rep. Steube, W. Gregory [R-FL-17]",2022-04-14,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,April,2022
360,H.R. 7526,https://www.congress.gov/bill/117th-congress/house-bill/7526,117th Congress (2021-2022),Servicemembers’ Credit Monitoring Enhancement Act,"Rep. Stefanik, Elise M. [R-NY-21]",2022-04-14,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,April,2022
361,H.R. 7525,https://www.congress.gov/bill/117th-congress/house-bill/7525,117th Congress (2021-2022),Protecting Charter Schools from Federal Overreach Act of 2022,"Rep. Steel, Michelle [R-CA-48]",2022-04-14,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
362,H.R. 7524,https://www.congress.gov/bill/117th-congress/house-bill/7524,117th Congress (2021-2022),ACES Act,"Rep. Pfluger, August [R-TX-11]",2022-04-14,,House - Veterans' Affairs,Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,introduced,Reupblican,April,2022
363,H.R. 7520,https://www.congress.gov/bill/117th-congress/house-bill/7520,117th Congress (2021-2022),"To direct the Corps of Engineers to develop a comprehensive plan for Lake Okeechobee and northern estuaries ecosystem restoration, and for other purposes.","Rep. Mast, Brian J. [R-FL-18]",2022-04-14,,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,introduced,Reupblican,April,2022
364,H.R. 7515,https://www.congress.gov/bill/117th-congress/house-bill/7515,117th Congress (2021-2022),Infectious Disease Therapies Research and Innovation Act of 2022,"Rep. Kelly, Mike [R-PA-16]",2022-04-14,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,April,2022
365,H.R. 7514,https://www.congress.gov/bill/117th-congress/house-bill/7514,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 345 South Main Street in Butler, Pennsylvania, as the ""Andrew Gomer Williams Post Office Building"".","Rep. Kelly, Mike [R-PA-16]",2022-04-14,,House - Oversight and Reform,Ordered to be Reported by Unanimous Consent.,introduced,Reupblican,April,2022
366,H.R. 7513,https://www.congress.gov/bill/117th-congress/house-bill/7513,117th Congress (2021-2022),PREPARE Act of 2022,"Rep. Joyce, David P. [R-OH-14]",2022-04-14,,"House - Energy and Commerce, Judiciary, Ways and Means, Agriculture, Financial Services","Referred to the Subcommittee on Biotechnology, Horticulture, and Research.",introduced,Reupblican,April,2022
367,H.R. 7510,https://www.congress.gov/bill/117th-congress/house-bill/7510,117th Congress (2021-2022),National Education Association Charter Repeal Act,"Rep. Fitzgerald, Scott [R-WI-5]",2022-04-14,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
368,H.R. 7507,https://www.congress.gov/bill/117th-congress/house-bill/7507,117th Congress (2021-2022),REFORM Act of 2022,"Rep. Cawthorn, Madison [R-NC-11]",2022-04-14,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
369,H.R. 7505,https://www.congress.gov/bill/117th-congress/house-bill/7505,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to add a new medical research component to the credit for increasing research activities.,"Rep. Buchanan, Vern [R-FL-16]",2022-04-14,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,April,2022
370,H.R. 7504,https://www.congress.gov/bill/117th-congress/house-bill/7504,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to make a portion of research credit refundable for certain small businesses engaging in specified medical research.,"Rep. Buchanan, Vern [R-FL-16]",2022-04-14,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,April,2022
371,H.R. 7503,https://www.congress.gov/bill/117th-congress/house-bill/7503,117th Congress (2021-2022),American Innovation Act of 2022,"Rep. Buchanan, Vern [R-FL-16]",2022-04-14,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,April,2022
372,H.R. 7501,https://www.congress.gov/bill/117th-congress/house-bill/7501,117th Congress (2021-2022),I–70 Detour Act,"Rep. Boebert, Lauren [R-CO-3]",2022-04-14,,"House - Transportation and Infrastructure, Rules",Referred to the Subcommittee on Highways and Transit.,introduced,Reupblican,April,2022
373,H.R. 7499,https://www.congress.gov/bill/117th-congress/house-bill/7499,117th Congress (2021-2022),Improving Federal Investigations of Organized Retail Crime Act of 2022,"Rep. Kim, Young [R-CA-39]",2022-04-14,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
374,H.R. 7498,https://www.congress.gov/bill/117th-congress/house-bill/7498,117th Congress (2021-2022),TEMP Act,"Rep. Steube, W. Gregory [R-FL-17]",2022-04-11,,House - Agriculture,Referred to the Subcommittee on General Farm Commodities and Risk Management.,introduced,Reupblican,April,2022
375,H.R. 7493,https://www.congress.gov/bill/117th-congress/house-bill/7493,117th Congress (2021-2022),Protecting Gun Owners in Bankruptcy Act of 2022,"Rep. Jacobs, Chris [R-NY-27]",2022-04-11,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
376,H.R. 7492,https://www.congress.gov/bill/117th-congress/house-bill/7492,117th Congress (2021-2022),Protecting Innocence in Education Act,"Rep. Gooden, Lance [R-TX-5]",2022-04-11,,"House - Education and Labor, Judiciary","Referred to the Committee on Education and Labor, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
377,H.R. 7490,https://www.congress.gov/bill/117th-congress/house-bill/7490,117th Congress (2021-2022),IRAN Negotiations Act,"Rep. Chabot, Steve [R-OH-1]",2022-04-11,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,April,2022
378,H.R. 7488,https://www.congress.gov/bill/117th-congress/house-bill/7488,117th Congress (2021-2022),Freedom of Association in Higher Education Act of 2022,"Rep. Stefanik, Elise M. [R-NY-21]",2022-04-07,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
379,H.R. 7485,https://www.congress.gov/bill/117th-congress/house-bill/7485,117th Congress (2021-2022),"Simplify, Don’t Amplify the IRS Act","Rep. Rice, Tom [R-SC-7]",2022-04-07,,"House - Ways and Means, Oversight and Reform, Financial Services","Referred to the Committee on Ways and Means, and in addition to the Committees on Oversight and Reform, and Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
380,H.R. 7484,https://www.congress.gov/bill/117th-congress/house-bill/7484,117th Congress (2021-2022),Food before Fuel Act,"Rep. Rice, Tom [R-SC-7]",2022-04-07,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,April,2022
381,H.R. 7483,https://www.congress.gov/bill/117th-congress/house-bill/7483,117th Congress (2021-2022),Cost of Mental Illness Act of 2022,"Rep. Reschenthaler, Guy [R-PA-14]",2022-04-07,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,April,2022
382,H.R. 7481,https://www.congress.gov/bill/117th-congress/house-bill/7481,117th Congress (2021-2022),"To prohibit the obligation or expenditure of funds relating to the Office for Environmental Justice and any other program, project, or activity relating to climate change of the Department of Justice, and for other purposes.","Rep. Perry, Scott [R-PA-10]",2022-04-07,,"House - Energy and Commerce, Judiciary, Natural Resources","Referred to the Committee on Energy and Commerce, and in addition to the Committees on the Judiciary, and Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
383,H.R. 7480,https://www.congress.gov/bill/117th-congress/house-bill/7480,117th Congress (2021-2022),Bullets Not Batteries Act,"Rep. Perry, Scott [R-PA-10]",2022-04-07,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,April,2022
384,H.R. 7479,https://www.congress.gov/bill/117th-congress/house-bill/7479,117th Congress (2021-2022),To provide a means for Congress to prevent an organization's designation as a foreign terrorist organization from being revoked by the Secretary of State.,"Rep. Pence, Greg [R-IN-6]",2022-04-07,,"House - Judiciary, Rules","Referred to the Committee on the Judiciary, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
385,H.R. 7466,https://www.congress.gov/bill/117th-congress/house-bill/7466,117th Congress (2021-2022),Traveler's Gun Rights Act,"Rep. Johnson, Dusty [R-SD-At Large]",2022-04-07,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
386,H.R. 7464,https://www.congress.gov/bill/117th-congress/house-bill/7464,117th Congress (2021-2022),Anti-Caravan Act of 2022,"Rep. Herrell, Yvette [R-NM-2]",2022-04-07,,"House - Foreign Affairs, Judiciary","Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
387,H.R. 7462,https://www.congress.gov/bill/117th-congress/house-bill/7462,117th Congress (2021-2022),EMAP Act,"Rep. Guest, Michael [R-MS-3]",2022-04-07,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
388,H.R. 7461,https://www.congress.gov/bill/117th-congress/house-bill/7461,117th Congress (2021-2022),CBE Act of 2022,"Rep. Grothman, Glenn [R-WI-6]",2022-04-07,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
389,H.R. 7460,https://www.congress.gov/bill/117th-congress/house-bill/7460,117th Congress (2021-2022),ONSHORE Manufacturing Act,"Rep. Gonzales, Tony [R-TX-23]",2022-04-07,,"House - Energy and Commerce, Education and Labor, Foreign Affairs, Financial Services","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Education and Labor, Foreign Affairs, and Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
390,H.R. 7457,https://www.congress.gov/bill/117th-congress/house-bill/7457,117th Congress (2021-2022),Hold CCP Accountable Act of 2022,"Rep. Fitzpatrick, Brian K. [R-PA-1]",2022-04-07,,"House - Foreign Affairs, Financial Services, Judiciary, Oversight and Reform, Armed Services, Intelligence (Permanent Select), Ways and Means, Rules, Education and Labor","Referred to the Committee on Foreign Affairs, and in addition to the Committees on Financial Services, the Judiciary, Oversight and Reform, Armed Services, Intelligence (Permanent Select), Ways and Means, Rules, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
391,H.R. 7456,https://www.congress.gov/bill/117th-congress/house-bill/7456,117th Congress (2021-2022),SHIP IT Act,"Rep. Fischbach, Michelle [R-MN-7]",2022-04-07,,"House - Transportation and Infrastructure, Homeland Security, Agriculture, Natural Resources, Armed Services, Ways and Means",Referred to the Subcommittee on Conservation and Forestry.,introduced,Reupblican,April,2022
392,H.R. 7455,https://www.congress.gov/bill/117th-congress/house-bill/7455,117th Congress (2021-2022),IHS Contract Support Cost Amendment Act,"Rep. Cole, Tom [R-OK-4]",2022-04-07,,House - Natural Resources,Referred to the House Committee on Natural Resources.,introduced,Reupblican,April,2022
393,H.R. 7452,https://www.congress.gov/bill/117th-congress/house-bill/7452,117th Congress (2021-2022),Updated Standards for Asylum (USA) Act of 2022,"Rep. Carter, John R. [R-TX-31]",2022-04-07,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
394,H.R. 7450,https://www.congress.gov/bill/117th-congress/house-bill/7450,117th Congress (2021-2022),Build the Wall Now Act,"Rep. Budd, Ted [R-NC-13]",2022-04-07,,"House - Homeland Security, Natural Resources, Energy and Commerce, Transportation and Infrastructure, Armed Services, Agriculture, Small Business, Judiciary, Oversight and Reform",Referred to the Subcommittee on Water Resources and Environment.,introduced,Reupblican,April,2022
395,H.R. 7440,https://www.congress.gov/bill/117th-congress/house-bill/7440,117th Congress (2021-2022),IRS Customer Service and Modernization Act of 2022,"Rep. Bice, Stephanie I. [R-OK-5]",2022-04-07,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,April,2022
396,H.R. 7438,https://www.congress.gov/bill/117th-congress/house-bill/7438,117th Congress (2021-2022),A–PLUS Act,"Rep. Hartzler, Vicky [R-MO-4]",2022-04-07,,House - Agriculture,Referred to the Subcommittee on Livestock and Foreign Agriculture.,introduced,Reupblican,April,2022
397,H.R. 7437,https://www.congress.gov/bill/117th-congress/house-bill/7437,117th Congress (2021-2022),No Timber From Tyrants Act,"Rep. Westerman, Bruce [R-AR-4]",2022-04-07,,"House - Ways and Means, Agriculture, Natural Resources",Referred to the Subcommittee on Conservation and Forestry.,introduced,Reupblican,April,2022
398,H.R. 7436,https://www.congress.gov/bill/117th-congress/house-bill/7436,117th Congress (2021-2022),"To amend title 38, United States Code, to improve the quality assurance program of the Veterans Benefits Administration of the Department of Veterans Affairs.","Rep. Cloud, Michael [R-TX-27]",2022-04-07,,House - Veterans' Affairs,Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,introduced,Reupblican,April,2022
399,H.R. 7432,https://www.congress.gov/bill/117th-congress/house-bill/7432,117th Congress (2021-2022),Volunteer Driver Tax Appreciation Act of 2022,"Rep. Stauber, Pete [R-MN-8]",2022-04-06,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,April,2022
400,H.R. 7430,https://www.congress.gov/bill/117th-congress/house-bill/7430,117th Congress (2021-2022),Protecting American Innovation Act,"Rep. Smith, Adrian [R-NE-3]",2022-04-06,,"House - Ways and Means, Rules","Referred to the Committee on Ways and Means, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
401,H.R. 7425,https://www.congress.gov/bill/117th-congress/house-bill/7425,117th Congress (2021-2022),Justice for Americans Act of 2022,"Rep. Gohmert, Louie [R-TX-1]",2022-04-06,,"House - Judiciary, Financial Services, Intelligence (Permanent Select)","Referred to the Committee on the Judiciary, and in addition to the Committees on Financial Services, and Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
402,H.R. 7424,https://www.congress.gov/bill/117th-congress/house-bill/7424,117th Congress (2021-2022),Solitary Confinement Reform Act of 2022,"Rep. Gohmert, Louie [R-TX-1]",2022-04-06,,"House - Judiciary, Armed Services","Referred to the Committee on the Judiciary, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
403,H.R. 7423,https://www.congress.gov/bill/117th-congress/house-bill/7423,117th Congress (2021-2022),America Reopens Act,"Rep. Gimenez, Carlos A. [R-FL-26]",2022-04-06,,"House - Education and Labor, Transportation and Infrastructure, Energy and Commerce, Judiciary","Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials.",introduced,Reupblican,April,2022
404,H.R. 7421,https://www.congress.gov/bill/117th-congress/house-bill/7421,117th Congress (2021-2022),Law Enforcement Education Grant Program Act of 2022,"Rep. Fischbach, Michelle [R-MN-7]",2022-04-06,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,April,2022
405,H.R. 7420,https://www.congress.gov/bill/117th-congress/house-bill/7420,117th Congress (2021-2022),Responsible Budget Targets Act of 2022,"Rep. Emmer, Tom [R-MN-6]",2022-04-06,,"House - Rules, Budget","Referred to the Committee on Rules, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
406,H.R. 7418,https://www.congress.gov/bill/117th-congress/house-bill/7418,117th Congress (2021-2022),Candace Owens Act,"Rep. Cawthorn, Madison [R-NC-11]",2022-04-06,,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
407,H.R. 7417,https://www.congress.gov/bill/117th-congress/house-bill/7417,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 120 East Oak Avenue in Seminole, Oklahoma, as the ""Sergeant Bret D. Isenhower Memorial Post Office Building"".","Rep. Bice, Stephanie I. [R-OK-5]",2022-04-06,,House - Oversight and Reform,Ordered to be Reported by Unanimous Consent.,introduced,Reupblican,April,2022
408,H.R. 7415,https://www.congress.gov/bill/117th-congress/house-bill/7415,117th Congress (2021-2022),Safe Students Act,"Rep. Massie, Thomas [R-KY-4]",2022-04-06,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
409,H.R. 7413,https://www.congress.gov/bill/117th-congress/house-bill/7413,117th Congress (2021-2022),Immigration Enforcement Partnership Act of 2022,"Rep. Posey, Bill [R-FL-8]",2022-04-06,,House - Judiciary,Referred to the House Committee on the Judiciary.,introduced,Reupblican,April,2022
410,H.R. 7412,https://www.congress.gov/bill/117th-congress/house-bill/7412,117th Congress (2021-2022),Transparency in CFPB Cost-Benefit Analysis Act,"Rep. Mooney, Alexander X. [R-WV-2]",2022-04-06,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,April,2022
411,H.R. 7411,https://www.congress.gov/bill/117th-congress/house-bill/7411,117th Congress (2021-2022),Ostracize China Act of 2022,"Rep. Lucas, Frank D. [R-OK-3]",2022-04-06,,"House - Financial Services, Foreign Affairs","Referred to the Committee on Financial Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,April,2022
412,H.R. 7410,https://www.congress.gov/bill/117th-congress/house-bill/7410,117th Congress (2021-2022),American Made Medicine Act,"Rep. Wenstrup, Brad R. [R-OH-2]",2022-04-05,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,April,2022
413,H.R. 7408,https://www.congress.gov/bill/117th-congress/house-bill/7408,117th Congress (2021-2022),SEC Economic Analysis Modernization Act,"Rep. Steil, Bryan [R-WI-1]",2022-04-05,,House - Financial Services,Referred to the House Committee on Financial Services.,introduced,Reupblican,April,2022
